Percentage served,Time in ms
0,0.078
1,0.147
2,0.164
3,0.176
4,0.185
5,0.195
6,0.204
7,0.215
8,0.226
9,0.237
10,0.248
11,0.256
12,0.262
13,0.266
14,0.270
15,0.273
16,0.275
17,0.277
18,0.279
19,0.281
20,0.283
21,0.285
22,0.286
23,0.288
24,0.289
25,0.291
26,0.292
27,0.293
28,0.295
29,0.296
30,0.297
31,0.298
32,0.300
33,0.301
34,0.302
35,0.303
36,0.304
37,0.306
38,0.307
39,0.308
40,0.309
41,0.310
42,0.312
43,0.313
44,0.314
45,0.315
46,0.316
47,0.317
48,0.319
49,0.320
50,0.321
51,0.322
52,0.324
53,0.325
54,0.326
55,0.328
56,0.329
57,0.330
58,0.332
59,0.333
60,0.334
61,0.336
62,0.337
63,0.339
64,0.340
65,0.342
66,0.344
67,0.345
68,0.347
69,0.349
70,0.351
71,0.352
72,0.354
73,0.356
74,0.358
75,0.360
76,0.363
77,0.365
78,0.367
79,0.370
80,0.372
81,0.375
82,0.378
83,0.381
84,0.384
85,0.388
86,0.391
87,0.395
88,0.399
89,0.404
90,0.409
91,0.414
92,0.420
93,0.427
94,0.435
95,0.444
96,0.455
97,0.470
98,0.493
99,0.570
100,16.157
