"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,100.0,3386,170124,13.29,59
5,99.8,29348,174102,13.60,58
10,99.8,55715,174115,13.60,59
15,100.0,82067,173969,13.59,57
21,100.0,108393,199411,15.58,55
26,99.8,139051,204104,15.95,56
31,100.0,169971,204024,15.94,56
36,99.8,200903,205047,16.02,53
41,100.0,231603,201266,15.72,58
47,99.8,262127,200122,15.63,55
52,99.8,292427,200724,15.68,57
57,100.0,322896,200444,15.66,52
62,99.8,353273,200109,15.63,56
67,99.8,383605,201251,15.72,58
73,100.0,414084,203303,15.88,58
78,100.0,444905,203448,15.89,55
83,100.0,476128,204780,16.00,58
88,99.6,507146,203859,15.93,55
93,100.0,538045,203849,15.93,55
99,100.0,568521,200147,15.64,54
104,100.0,598857,199797,15.61,57
109,100.0,629101,204432,15.97,56
114,99.8,660097,203956,15.93,53
119,100.0,690965,11771.5,0.92,52
125,100.0,735398,0,0.00,60
130,100.0,736414,0,0.00,60
135,100.0,1036898,0.77,0.00,60
