"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,174.0,37700,4336.31,0.34,2
5,168.2,43792,4349.75,0.34,1
10,162.8,48204,4254.99,0.33,2
16,162.8,51868,4418.26,0.35,1
21,159.8,54852,4387.69,0.34,2
26,159.3,58536,4444.72,0.35,1
31,159.6,63564,4401.71,0.34,2
36,158.0,68160,4493.84,0.35,2
42,158.0,68112,4496.5,0.35,2
47,157.0,75372,4408.53,0.34,2
52,158.6,74640,4476.26,0.35,2
57,155.8,82796,4356.46,0.34,2
62,155.9,84012,4290.57,0.34,2
68,154.1,93932,4367.1,0.34,2
73,151.1,94328,4188.67,0.33,2
78,158.3,94484,4526.6,0.35,2
83,158.8,110844,4576.75,0.36,2
89,156.6,105564,4595.94,0.36,2
94,148.0,105700,4282.56,0.33,2
99,154.7,105728,4417,0.35,2
104,155.7,123300,4552.64,0.36,2
109,154.7,124524,4564.16,0.36,2
115,151.4,123204,4447.03,0.35,2
120,153.3,123380,138.6,0.01,2
