"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,105.8,15172,15122.3,1.18,0
5,1221.9,124467,22383.2,1.75,612
10,1215.6,125291,22239.3,1.74,612
16,1194.5,125454,22233,1.74,606
21,1202.6,125570,22633.4,1.77,612
26,1220.9,125815,22456.9,1.75,607
31,1220.9,125842,22462.5,1.75,602
37,1201.4,126057,22377.8,1.75,584
42,1201,126156,22457.3,1.75,595
47,1207.9,126249,22463.8,1.75,562
52,1215.4,126322,22405.7,1.75,599
58,1164.8,126498,22446.6,1.75,609
63,1177.2,126450,22597.6,1.77,612
68,1213.8,126630,22646.5,1.77,602
73,1214.6,126732,22657.7,1.77,599
79,1174.6,126850,22684.1,1.77,609
84,1207.5,126858,22616.7,1.77,612
89,1207.9,127057,22549,1.76,568
94,1209.3,127112,22592.9,1.77,587
100,1220.5,127134,22637.2,1.77,610
105,1215.8,127194,22638.2,1.77,585
110,1201.2,127214,22477.1,1.76,612
116,1209.1,127222,22323.6,1.74,601
121,633.5,127271,2081.33,0.16,576
