"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,1153,24900,145894,11.40,47
5,1143,206856,146843,11.47,47
10,1192,365616,151967,11.87,35
16,1095,533916,152407,11.91,44
21,1173,694220,160105,12.51,45
26,1184,872832,149657,11.69,49
31,1177,1037460,156793,12.25,45
37,1041,1157188,132252,10.33,46
42,1182,1354028,153482,11.99,44
47,1189,1527200,153912,12.02,48
52,1186,1705072,154401,12.06,44
57,1172,1872708,155637,12.16,44
63,1160,2039152,159624,12.47,44
68,1132,2194528,168829,13.19,47
73,1188,2287884,154148,12.04,46
78,900.0,2371960,111618,8.72,42
84,1192,2677812,150922,11.79,49
89,1175,2857012,159392,12.45,43
94,1159,3027632,163829,12.80,43
99,1161,3908592,155584,12.16,46
104,1167,3389504,161450,12.61,47
110,1171,3560608,153375,11.98,44
115,1191,3726936,155496,12.15,44
120,1201,3893280,148440,11.60,44
125,1158,4056048,161010,12.58,46
130,1193,4227132,151779,11.86,43
136,1143,4366324,163968,12.81,44
141,1156,4456920,159495,12.46,48
146,1173,4543276,156493,12.23,46
151,1181,4629536,149404,11.67,43
157,1171,4711096,154512,12.07,47
162,651.3,4797348,82660,6.46,43
167,1176,5332856,162978,12.73,45
172,1212,5528176,146341,11.43,46
177,1186,5690752,150976,11.79,45
183,1195,5854496,151162,11.81,44
188,1162,6019324,163517,12.77,43
193,1179,6191380,157917,12.34,38
198,1090,7291364,176384,13.78,44
204,1170,6587268,157252,12.29,48
209,1209,6754312,144593,11.30,45
214,1207,6916064,143835,11.24,47
219,1187,7076208,158824,12.41,43
224,1171,7245676,162627,12.71,45
230,1136,7416036,171118,13.37,46
235,1155,7591740,166782,13.03,46
