"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,513.0,5602,180823,14.13,232
5,484.4,5796,183763,14.36,596
11,446.0,5820,182741,14.28,591
16,491.2,5827,183116,14.31,591
21,502.2,5827,182880,14.29,596
26,446.2,5830,183076,14.30,593
32,444.2,5836,183029,14.30,594
37,489.0,5835,183360,14.32,594
42,494.6,5839,182776,14.28,587
47,492.4,5840,182627,14.27,590
52,497.8,5842,183043,14.30,597
58,470.2,5842,182480,14.26,595
63,449.2,5844,182490,14.26,591
68,497.8,5843,182611,14.27,590
73,495.6,5844,182528,14.26,594
78,505.0,5843,182271,14.24,591
84,469.6,5835,181606,14.19,593
89,502.2,5842,182142,14.23,593
94,498.0,5835,181520,14.18,593
99,469.7,5842,181663,14.19,594
104,496.0,5843,182269,14.24,593
110,480.0,5844,181990,14.22,591
115,466.8,5852,181132,14.15,593
120,484.6,5855,182188,14.23,592
125,490.4,5862,181955,14.22,590
130,488.6,5863,182276,14.24,586
136,495.4,5866,181637,14.19,593
141,505.0,5867,181499,14.18,590
146,501.6,5867,181434,14.17,585
151,491.0,5866,182206,14.23,593
156,507.4,5867,181631,14.19,594
162,491.8,5867,178352,13.93,593
167,472.3,5974,181326,14.17,589
172,496.0,5975,181404,14.17,589
177,518.0,5977,181150,14.15,592
183,481.0,5980,181390,14.17,595
188,486.8,5979,181395,14.17,591
193,502.8,5979,181389,14.17,587
198,509.8,5978,181476,14.18,591
203,448.0,5979,181325,14.17,591
209,504.2,5972,181593,14.19,591
214,483.4,5983,182215,14.24,591
219,483.2,5983,181982,14.22,594
224,475.0,5969,181667,14.19,590
229,481.2,5985,181592,14.19,592
235,511.0,5983,181778,14.20,592
240,504.0,6011,181985,14.22,588
245,500.6,6010,181598,14.19,592
250,495.0,6011,181095,14.15,594
255,441.1,6011,180989,14.14,591
261,483.0,6004,181414,14.17,594
266,509.8,6012,181589,14.19,595
271,459.9,6012,181572,14.19,589
276,496.2,6010,179325,14.01,589
281,493.4,6010,181219,14.16,590
287,494.4,6012,182052,14.22,591
292,501.4,6009,181262,14.16,593
297,448.6,6012,181235,14.16,593
302,446.4,6011,181291,14.16,594
308,488.6,6010,180933,14.14,593
313,485.8,6011,181363,14.17,592
318,516.8,6010,181814,14.20,593
323,491.2,6011,181535,14.18,589
328,487.2,6014,181647,14.19,596
334,457.1,6009,181465,14.18,592
339,465.3,6015,181588,14.19,596
344,516.8,6007,182043,14.22,592
349,460.1,6015,181945,14.21,588
354,438.5,6015,181213,14.16,587
360,486.4,6014,181503,14.18,591
365,487.2,6015,181075,14.15,593
370,503.0,6017,182080,14.22,593
375,510.6,6014,181402,14.17,593
380,491.0,6023,182005,14.22,589
386,488.4,6023,181614,14.19,595
391,459.0,6023,182080,14.22,593
396,511.8,6023,181386,14.17,590
401,479.4,6023,181036,14.14,593
406,468.2,6023,181627,14.19,590
412,493.6,6024,181811,14.20,590
417,507.0,6027,182163,14.23,591
422,492.4,6024,182099,14.23,594
427,475.6,6027,181433,14.17,593
432,489.8,6028,181579,14.19,593
438,510.2,6028,181849,14.21,590
443,519.6,6026,181536,14.18,589
448,499.6,6027,181967,14.22,594
453,496.8,6026,181976,14.22,595
458,482.6,6027,181677,14.19,590
464,497.6,6027,181378,14.17,594
469,513.4,6020,181953,14.22,591
474,500.0,6028,181493,14.18,597
479,473.4,6026,180969,14.14,591
485,495.0,6027,181218,14.16,590
490,492.4,6027,181618,14.19,590
495,500.8,6028,181973,14.22,595
500,456.8,6028,181870,14.21,590
505,513.0,6027,181826,14.21,593
511,482.8,6026,181301,14.16,592
516,506.0,6017,181135,14.15,595
521,505.6,6028,181301,14.16,591
526,489.2,6028,180884,14.13,590
531,491.6,6027,181472,14.18,594
537,486.8,6026,181457,14.18,597
542,460.9,6026,181722,14.20,595
547,494.6,6020,181972,14.22,589
552,500.6,6027,181347,14.17,588
557,506.8,6026,181901,14.21,592
563,472.8,6028,181444,14.18,588
568,485.6,6026,182053,14.22,592
573,453.6,6027,181981,14.22,593
578,502.6,6028,181567,14.18,586
583,488.4,6027,182103,14.23,593
589,519.2,6027,182045,14.22,592
594,493.8,6027,181750,14.20,589
599,480.0,6028,46509.8,3.63,594
