"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,427.8,3279,175807,13.73,76
5,400.2,3722,178391,13.94,87
10,413.2,6303,178431,13.94,89
15,411.2,6305,178119,13.92,90
20,378.4,6313,178393,13.94,94
26,411.2,6309,178088,13.91,88
31,384.2,6312,177715,13.88,93
36,423.2,6306,178236,13.92,95
41,407.4,6312,178248,13.93,92
46,417.0,6294,177650,13.88,93
52,391.4,6304,177854,13.89,90
57,405.2,6295,177911,13.90,91
62,415.8,6311,177931,13.90,93
67,401.2,6297,178092,13.91,91
72,414.8,6305,177883,13.90,92
78,395.6,6295,176660,13.80,93
83,396.2,6305,176872,13.82,91
88,401.0,6304,176997,13.83,93
93,435.3,6297,177443,13.86,91
98,406.4,6305,177295,13.85,91
104,430.3,6305,177794,13.89,91
109,394.0,6312,177269,13.85,94
114,379.2,6316,177058,13.83,92
119,380.0,6307,9106.05,0.71,92
