"Time (s)","CPU (%)","MEM (kB)"
0,3989,34195
5,3958,358499
11,3020,974223
16,3135,1139343
21,3053,1133787
26,3146,1149775
31,3163,1179987
36,3518,1161875
42,3703,1201335
47,3696,1199835
52,3723,1249651
57,3721,1247951
62,3907,1235859
68,3696,1233107
73,3183,1202247
78,2986,1177495
83,3196,1216111
88,3118,1206855
94,3176,1214087
99,3565,1198271
104,3729,1258011
109,3764,1259887
114,3687,1251095
120,3708,1251699
125,3776,1252371
130,3593,1253303
135,2983,1243267
140,3153,1191399
146,3097,1207027
151,3180,1217035
156,3118,1231827
161,3631,1115875
166,3746,1244355
172,3718,1270047
177,3662,1270407
182,3724,1270703
187,3741,1266515
192,3406,1338879
198,3158,1236639
203,2981,1208163
208,3262,1215867
213,3100,1219723
218,3209,1218987
224,3635,1211063
229,3744,1293287
234,3731,1291575
239,3687,1272947
244,3735,1247707
250,3729,1247859
255,3304,1248023
260,3035,1226315
265,3075,1161831
270,3094,1212703
276,3266,1220707
281,3159,1186363
286,3680,1191183
291,3771,1219603
296,3787,1253539
302,3688,1254247
307,3730,1306131
312,3749,1292291
317,3149,1265295
322,3135,1213023
328,2989,1208075
333,3256,1166851
338,3183,1341463
343,3280,1238535
348,3685,1238719
354,3732,1283323
359,3739,1274331
364,3646,1273791
369,3786,1371307
374,3637,1284211
380,3197,1265439
385,3034,1235667
390,3099,1235779
395,3107,1235847
400,3290,1196851
406,3289,1210755
411,3712,1299323
416,3709,1252603
421,3730,1275551
426,3685,1271411
432,3717,1318743
437,3592,1269171
442,3093,1236143
447,3105,1200051
452,3050,1244535
458,3205,1247003
463,3200,1312295
468,3427,1211195
473,3760,1263723
479,3775,1273967
484,3730,1267371
489,3707,1267471
494,3718,1348763
499,3438,1298311
505,3097,1246719
510,3042,1246747
515,3161,1246751
520,3121,1251815
525,3288,1207775
531,3465,1209607
536,3724,1242303
541,3760,1284759
546,3708,1282459
551,3770,1301471
557,3771,1248731
562,3340,1248775
567,3083,1241123
572,3095,1168387
577,3062,1211067
583,3235,1195663
588,3218,1213039
593,3585,1213055
598,3460,1224671
