"Time (s)","CPU (%)","MEM (kB)"
0,100.0,2490
5,100.2,2554
10,99.8,2579
16,99.8,2598
21,99.8,2626
26,100.2,2630
31,100.0,2638
36,100.0,2643
41,99.8,2650
47,100.2,2658
52,100.0,2674
57,100.4,2683
62,100.0,2686
67,100.0,2690
73,99.8,2698
78,99.6,2690
83,100.0,2694
88,100.2,2706
93,100.0,2702
98,100.0,2711
104,99.8,2710
109,100.0,2710
114,99.8,2706
119,99.6,2718
124,99.8,2726
129,100.0,2727
135,100.2,2734
140,99.8,2738
145,100.0,2742
150,100.0,2742
155,100.0,2734
161,99.8,2734
166,99.8,2738
171,100.0,2738
176,100.0,2742
181,100.2,2742
186,99.8,2742
192,100.0,2746
197,99.6,2746
202,100.0,2750
207,99.8,2750
212,100.2,2750
218,100.2,2750
223,100.2,2750
228,100.0,2744
233,100.0,2745
238,100.0,2748
243,99.8,2748
249,99.8,2748
254,100.0,2752
259,100.0,2753
264,100.0,2752
269,100.0,2753
274,99.8,2760
280,100.0,2760
285,100.0,2760
290,99.8,2760
295,99.8,2760
300,99.8,2751
306,100.0,2760
311,100.0,2760
316,99.8,2759
321,100.0,2760
326,100.2,2760
331,100.0,2760
337,100.0,2760
342,100.2,2760
347,100.2,2766
352,100.0,2766
357,100.0,2766
363,100.0,2766
368,100.0,2771
373,99.8,2770
378,99.8,2770
383,100.0,2770
388,99.6,2771
394,100.0,2771
399,99.8,2771
404,100.0,2770
409,100.2,2770
414,99.6,2770
420,99.8,2770
425,100.0,2771
430,99.8,2771
435,99.8,2770
440,100.0,2770
445,99.8,2770
451,100.0,2771
456,100.0,2770
461,100.2,2771
466,99.8,2770
471,99.8,2770
476,100.0,2770
482,100.0,2770
487,100.2,2771
492,100.0,2771
497,99.6,2771
502,100.0,2770
508,100.2,2770
513,100.2,2770
518,100.0,2770
523,99.8,2770
528,99.8,2771
533,99.8,2771
539,99.8,2771
544,99.8,2770
549,99.6,2771
554,100.0,2770
559,99.8,2770
565,99.8,2771
570,100.0,2771
575,100.0,2770
580,100.0,2770
585,100.0,2771
590,99.8,2770
596,106.7,2770
