"Time (s)","CPU (%)","MEM (kB)"
0,3429,165276
5,3598,2248916
10,3716,2330644
16,3675,2401988
21,3635,2415812
26,3771,2396328
31,3463,2400848
36,3168,2285805
42,3262,2401960
47,3116,2398060
52,3316,2403880
57,3407,2406104
62,3516,2405484
67,3644,2425588
73,3670,2429832
78,3742,2460733
83,3673,2477608
88,3713,2528344
94,3286,2521120
99,3315,2387148
104,3112,2394016
109,3264,2394604
114,3259,2456220
119,3460,2422872
125,3559,2424316
130,3644,2425804
135,3694,2438552
140,3694,2440508
145,3730,2442397
151,3658,2464136
156,3357,2519225
161,3139,2578576
166,3277,2379664
171,3111,2401364
177,3376,2401704
182,3386,2406700
187,3597,2407064
192,3648,2416685
197,3699,2488736
203,3699,2489772
208,3723,2492208
213,3642,2493296
218,3206,2519068
223,3261,2415756
229,3105,2478676
234,3254,2442636
239,3320,2622684
244,3467,2392796
249,3666,2404320
255,3675,2519405
260,3764,2516145
265,3667,2533293
270,3767,2514533
275,3524,2512933
281,3277,2442245
286,3145,2442277
291,3274,2451849
296,3117,2452061
301,3451,2380425
307,3468,2333037
312,3662,2476269
317,3717,2541905
322,3873,2532329
327,3797,2524225
333,3707,2555369
338,3465,2518501
343,3238,2518929
348,3230,2402693
353,3135,2421773
359,3258,2422821
364,3364,2416561
369,3578,2416829
374,3605,2503889
379,3694,2504133
385,3712,2504613
390,3689,2526709
395,3713,2521289
400,3391,2627313
405,3277,2429021
411,3171,2452201
416,3248,2452317
421,3157,2466417
426,3442,2425777
431,3581,2452141
437,3690,2723025
442,3700,2535981
447,3686,2548909
452,3705,2539537
457,3674,2521841
463,3363,2510513
468,3255,2598977
473,3232,2425521
478,3147,2451629
483,3305,2426373
489,3372,2426481
494,3630,2447361
499,3657,2545157
504,3687,2497301
509,3713,2497749
515,3719,2497885
520,3605,2498081
525,3307,2476829
530,3252,2432945
535,3191,2393705
541,3224,2458473
546,3242,2458569
551,3457,2458569
556,3637,2458665
561,3633,2458829
567,3690,2538393
572,3670,2538841
577,3671,2491433
582,3584,2509593
587,3299,2523769
593,3262,2458781
598,2733,2459369
