"Time (s)","CPU (%)","MEM (kB)"
0,3591,122112
5,3580,398280
11,3564,555076
16,3558,724540
21,3559,1199004
26,3562,1268080
31,3596,1594872
37,3534,1455500
42,3590,1699624
47,3369,1710480
52,3588,2138856
57,3330,2139804
63,3579,2600560
68,3561,2600564
73,3343,2600580
78,3552,3188756
83,3561,3188772
89,3270,3188772
94,3580,4816632
99,3566,4008672
104,3557,4008672
110,3377,4008680
115,3491,4706660
120,3556,4979980
125,3573,4979988
130,3570,4957460
136,3575,4949272
141,3179,5001204
146,3493,6641916
151,3546,6183568
156,3532,6179476
162,3566,6163092
167,3535,6119496
172,3249,6119496
177,3371,7404616
182,3524,7695016
188,3552,7673636
193,3557,7624484
198,3551,7624484
203,3555,7620388
208,3548,7595812
214,3551,7595816
219,3004,7890924
224,3443,10372692
229,3538,9548116
234,3509,9543376
240,3463,9483984
245,3517,9483988
250,3525,9483992
255,3513,9483992
260,3523,9483992
266,3535,9483992
271,2914,9483992
276,3361,10452284
281,3414,11452168
286,3455,11236456
292,3463,11400736
297,3501,11474700
302,3471,11485436
307,3488,11485440
312,3485,11485440
318,3493,11485832
323,3522,11485832
328,3496,11485960
333,3470,11486176
338,2933,11507280
344,3008,13502676
349,3490,17776436
354,3457,13645840
359,3482,13769260
364,3373,13788364
369,3490,13806948
375,3498,13807212
380,3485,13825300
385,3499,13844072
390,3487,13844072
395,3474,13862680
401,3513,13918240
406,3452,13918240
411,3468,13965040
416,3476,13966688
421,3461,13966688
427,2957,13966688
432,3215,17074184
437,3399,19657792
442,3334,20479148
447,3407,17840024
453,3413,17841932
458,3393,17841932
463,3407,17841932
468,3286,17841932
473,3380,17841932
479,3394,17853612
484,3345,17853612
489,3439,17881784
494,3409,17881784
499,3345,17881796
505,3344,17881800
510,3361,17881800
515,3391,17881804
520,3406,17881804
525,3393,17881804
531,3403,17881808
536,2573,17881808
541,2204,20225920
546,3214,24718000
551,3392,27322716
556,3308,28529704
562,3330,22224080
567,3328,22232328
572,3317,22246588
577,3344,22315272
582,3246,22317744
588,3338,22489264
593,3246,22489560
598,1449,22489560
603,100.0,22524976
608,100.4,22524976
614,100.4,22524976
619,100.2,22524976
624,100.2,22524976
629,100.4,22524976
634,100.8,22524976
639,100.2,22524976
645,100.4,22524976
650,100.4,22524976
655,100.4,22524976
660,100.2,22524976
665,100.4,22524976
671,102.0,22524976
676,100.4,22524976
681,100.2,22524976
686,100.0,0
