"Time (s)","CPU (%)","MEM (kB)"
0,100.0,3646
5,100.0,4834
11,99.8,4857
16,99.8,4861
21,99.8,4869
26,99.8,4885
31,99.8,4896
36,99.8,4897
42,100.2,4901
47,100.0,4909
52,99.8,4914
57,100.0,4914
62,100.4,4913
68,99.8,4913
73,99.8,4918
78,99.8,4921
83,99.8,4921
88,99.6,4925
93,100.2,4925
99,99.8,4925
104,99.8,4937
109,100.0,4937
114,99.8,4938
119,100.2,4937
125,100.2,4936
130,99.6,4936
135,100.0,4938
140,100.0,4937
145,100.0,4937
150,99.8,4937
156,100.0,4937
161,100.0,4936
166,100.2,4937
171,100.2,4938
176,100.2,4939
182,99.8,4937
187,100.0,4938
192,100.0,4937
197,99.8,4939
202,99.8,4937
207,99.8,4938
213,100.2,4937
218,100.0,4937
223,100.0,4937
228,99.6,4937
233,99.8,4936
239,100.0,4937
244,100.0,4937
249,100.0,4937
254,100.0,4937
259,100.0,4937
264,100.0,4937
270,100.2,4937
275,100.0,4937
280,99.8,4937
285,99.8,4937
290,99.8,4937
296,99.8,4937
301,100.0,4937
306,100.0,4937
311,100.2,4937
316,100.0,4937
321,99.8,4937
327,99.8,4937
332,99.8,4936
337,99.8,4937
342,100.0,4937
347,99.8,4938
352,100.0,4938
358,100.2,4937
363,100.0,4937
368,100.0,4939
373,100.0,4937
378,99.8,4937
384,99.8,4938
389,99.6,4937
394,99.8,4937
399,100.0,4937
404,100.0,4937
409,100.0,4937
415,100.2,4937
420,100.2,4936
425,100.0,4936
430,99.8,4936
435,100.0,4937
441,99.8,4937
446,99.8,4937
451,100.2,4937
456,100.0,4937
461,100.0,4937
466,99.8,4936
472,100.0,4936
477,100.0,4938
482,99.8,4937
487,100.0,4937
492,99.8,4937
497,99.8,4938
503,100.0,4937
508,99.8,4937
513,99.8,4937
518,99.8,4937
523,100.0,4937
529,100.2,4937
534,100.2,4936
539,100.2,4936
544,100.0,4936
549,100.0,4937
554,100.0,4937
560,100.0,4937
565,100.0,4937
570,100.2,4937
575,100.2,4936
580,99.8,4937
586,100.0,4937
591,99.8,4941
596,93.3,4941
