Tool,Scenario,RPS,CPU (%),MEM (kB),Time (s)
wrk,scenario-1-120-400,155851.23,100.0,3693,0.0
wrk,scenario-1-120-400,155851.23,100.0,3772,5.0
wrk,scenario-1-120-400,155851.23,100.2,3789,10.0
wrk,scenario-1-120-400,155851.23,100.0,3796,16.0
wrk,scenario-1-120-400,155851.23,100.0,3796,21.0
wrk,scenario-1-120-400,155851.23,100.2,3800,26.0
wrk,scenario-1-120-400,155851.23,100.0,3812,31.0
wrk,scenario-1-120-400,155851.23,99.8,3816,36.0
wrk,scenario-1-120-400,155851.23,100.2,3816,42.0
wrk,scenario-1-120-400,155851.23,99.8,3817,47.0
wrk,scenario-1-120-400,155851.23,100.0,3824,52.0
wrk,scenario-1-120-400,155851.23,100.2,3832,57.0
wrk,scenario-1-120-400,155851.23,100.0,3832,62.0
wrk,scenario-1-120-400,155851.23,99.8,3844,68.0
wrk,scenario-1-120-400,155851.23,100.0,3852,73.0
wrk,scenario-1-120-400,155851.23,100.2,3860,78.0
wrk,scenario-1-120-400,155851.23,100.0,3876,83.0
wrk,scenario-1-120-400,155851.23,99.8,3876,88.0
wrk,scenario-1-120-400,155851.23,100.0,3877,93.0
wrk,scenario-1-120-400,155851.23,100.0,3876,99.0
wrk,scenario-1-120-400,155851.23,99.8,3877,104.0
wrk,scenario-1-120-400,155851.23,100.0,3880,109.0
wrk,scenario-1-120-400,155851.23,99.8,3881,114.0
wrk,scenario-1-120-400,155851.23,100.0,3884,119.0
wrk,scenario-5-60-200,178911.57,291.4,2833,0.0
wrk,scenario-5-60-200,178911.57,292.2,3154,5.0
wrk,scenario-5-60-200,178911.57,243.3,3168,11.0
wrk,scenario-5-60-200,178911.57,284.0,3181,16.0
wrk,scenario-5-60-200,178911.57,274.3,3185,21.0
wrk,scenario-5-60-200,178911.57,283.6,3183,26.0
wrk,scenario-5-60-200,178911.57,278.4,3196,31.0
wrk,scenario-5-60-200,178911.57,294.8,3196,36.0
wrk,scenario-5-60-200,178911.57,276.2,3203,42.0
wrk,scenario-5-60-200,178911.57,287.8,3203,47.0
wrk,scenario-5-60-200,178911.57,296.6,3208,52.0
wrk,scenario-5-60-200,178911.57,280.0,3209,57.0
wrk,scenario-10-120-400,179510.07,446.2,4384,0.0
wrk,scenario-10-120-400,179510.07,487.4,4584,5.0
wrk,scenario-10-120-400,179510.07,476.8,4584,10.0
wrk,scenario-10-120-400,179510.07,468.0,4596,16.0
wrk,scenario-10-120-400,179510.07,469.9,4601,21.0
wrk,scenario-10-120-400,179510.07,490.2,4608,26.0
wrk,scenario-10-120-400,179510.07,501.0,4624,31.0
wrk,scenario-10-120-400,179510.07,443.6,4624,36.0
wrk,scenario-10-120-400,179510.07,462.3,4624,42.0
wrk,scenario-10-120-400,179510.07,467.8,4624,47.0
wrk,scenario-10-120-400,179510.07,463.1,4624,52.0
wrk,scenario-10-120-400,179510.07,481.0,4624,57.0
wrk,scenario-10-120-400,179510.07,491.6,4632,62.0
wrk,scenario-10-120-400,179510.07,498.6,4636,67.0
wrk,scenario-10-120-400,179510.07,488.2,4636,73.0
wrk,scenario-10-120-400,179510.07,492.4,4636,78.0
wrk,scenario-10-120-400,179510.07,479.8,4636,83.0
wrk,scenario-10-120-400,179510.07,485.2,4656,88.0
