Time (s),CPU (%),MEM (KB),Bandwidth (KB/s),Bandwidth Utilization (%),Open Sockets,exp_dir,experiment,categories,rps
0,1140.0,25148,155968.0,12.19,50,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
5,1104.0,216832,173754.0,13.57,46,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
11,1137.0,377512,172138.0,13.45,40,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
16,1146.0,558480,149991.0,11.72,40,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
21,1200.0,711840,149914.0,11.71,50,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
26,1161.0,888692,165309.0,12.91,47,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
31,1156.0,1061072,164998.0,12.89,45,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
37,1045.0,1186744,144605.0,11.3,47,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
42,1192.0,1387944,159183.0,12.44,48,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
47,1150.0,1563860,169976.0,13.28,49,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
52,1190.0,1751584,154581.0,12.08,45,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
58,1164.0,1917112,161486.0,12.62,46,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
63,1217.0,2087448,148092.0,11.57,44,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
68,1159.0,2238276,162277.0,12.68,41,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
73,1168.0,2328052,162357.0,12.68,45,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
78,814.6,2416724,110484.0,8.63,43,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
84,1195.0,2703896,155013.0,12.11,46,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
89,1161.0,2891848,166038.0,12.97,45,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
94,1166.0,3069916,167360.0,13.08,46,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
99,1205.0,3267952,149022.0,11.64,38,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
104,1207.0,3431256,153075.0,11.96,43,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
110,1185.0,3598072,156724.0,12.24,45,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
115,1197.0,3765592,152716.0,11.93,39,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
120,1194.0,3931772,155777.0,12.17,40,experiments/oha/oha-4,oha-4,['time-based-rps-increase'],175808.524
