"Time (s)","CPU (%)","MEM (kB)"
0,2995,104912
5,3231,2502692
10,3387,2641496
16,3630,2793168
21,3577,2951164
26,3702,3004616
31,3659,3024212
36,3605,3033912
42,3452,3040264
47,3316,3001788
52,3158,3001056
57,3393,3002800
62,2997,3009768
68,3275,3010568
73,3460,3013940
78,3603,3124860
83,3622,3042344
88,3773,3128324
94,3757,3154940
99,3679,3089836
104,3449,3093728
109,3180,3012184
114,3233,3026040
120,3333,3026996
125,3022,3052096
130,3303,3029068
135,3528,3030308
140,3645,3034280
146,3667,3037784
151,3658,3041616
156,3709,3114944
161,3649,3109388
166,3340,3095836
172,3295,3032872
177,3244,3033784
182,3347,3035108
187,2974,3035664
192,3359,3035720
198,3544,3036128
203,3603,3051468
208,3614,3072780
213,3695,3115724
218,3686,3117424
224,3626,3144916
229,3381,3118784
234,3161,3119064
239,3352,3119100
244,3230,3069448
250,3114,3031264
255,3256,3031368
260,3631,3031776
265,3632,3164208
270,3672,3107404
276,3587,3149475
281,3623,3142808
286,3561,3138432
291,3261,3068956
296,3265,3069300
302,3274,3070344
307,3287,3134292
312,3037,3049588
317,3338,3049668
322,3605,3049832
327,3597,3257900
333,3632,3131688
338,3625,3132780
343,3548,3133240
348,3509,3134752
353,3271,2998416
359,3182,2998540
364,3408,3021228
369,3134,3040612
374,3146,3041276
379,3275,3041364
385,3594,3114536
390,3639,3115624
395,3619,3116608
400,3701,3117140
405,3674,3201476
411,3452,3175492
416,3247,3168104
421,3230,3164412
426,3337,3164464
431,3242,3064360
437,3109,3064524
442,3379,3064556
447,3662,3064732
452,3620,3242424
457,3647,3241980
463,3675,3232320
468,3743,3227988
473,3413,3310280
478,3250,3122124
483,3204,3122124
489,3401,3122392
494,3158,3122800
499,3163,3121160
504,3365,3121372
509,3580,3121436
515,3628,3118644
520,3714,3181488
525,3809,3273432
530,3729,3256920
535,3347,3180660
541,3248,3180660
546,3242,3163032
551,3314,3163104
556,3233,3163148
561,3117,2977720
567,3507,2995396
572,3578,3003804
577,3571,3069908
582,3629,3203812
587,3757,3204344
593,3672,3204848
598,3620,3188383
