"Time (s)","CPU (%)","MEM (kB)"
0,2886,91984
5,2799,276856
10,2724,372660
15,2691,533156
20,2664,735212
26,2673,925008
31,2681,1201336
36,2654,1103592
41,2681,1347292
46,2657,1347352
52,2663,1624536
57,2638,1624536
62,2681,1929764
67,2675,1951564
72,2523,1951764
78,2660,2527852
83,2674,2527864
88,2585,2527924
93,2690,3743736
98,2661,2968692
103,2682,2993508
109,2675,2999228
114,2505,3125540
119,2660,3887772
124,2660,3888160
129,2660,3888280
135,2664,3888480
140,2508,3888480
145,2698,5460272
150,2684,4863108
155,2668,4863108
160,2663,4863108
166,2672,4863108
171,2668,4863108
176,2418,4863116
181,2658,6312600
186,2660,5871868
192,2687,5872108
197,2677,5872372
202,2681,5872372
207,2680,5872492
212,2665,5872516
218,2519,5872516
223,2507,7778408
228,2667,7598168
233,2671,7509452
238,2663,7510016
243,2666,7510080
249,2685,7510084
254,2680,7510084
259,2674,7510084
264,2679,7510432
269,2666,7510436
275,2381,7510436
280,2654,9678184
285,2664,9219508
290,2673,9229040
295,2666,9229252
300,2656,9229252
306,2686,9229256
311,2659,9229256
316,2665,9229256
321,2681,9229256
326,2654,9229260
332,2668,9229260
337,2666,9229260
342,2493,9229260
347,2544,12120004
352,2652,12396356
358,2670,11665656
363,2668,11667996
368,2664,11622784
373,2656,11622784
378,2657,11622788
383,2661,11622788
389,2639,11622788
394,2652,11622788
399,2633,11622788
404,2655,11622788
409,2665,11622788
415,2648,11622788
420,2656,11622788
425,2661,11622788
430,2083,12330760
435,2661,15597448
440,2637,14439680
446,2648,14470460
451,2663,14488084
456,2666,14552756
461,2644,14553400
466,2661,14660860
472,2673,14530948
477,2660,14546988
482,2652,14547128
487,2653,14547128
492,2667,14577456
498,2660,14577456
503,2664,14578120
508,2657,14578352
513,2640,14545600
518,2657,14575892
523,2664,14575892
529,2675,14606684
534,2686,14607260
539,2468,16159028
544,2624,17960892
549,2633,18024880
555,2634,18094996
560,2606,18181516
565,2634,18184280
570,2597,18184880
575,3645,18184888
581,3790,18188588
586,3766,18189672
591,3816,18189824
596,2659,18190672
601,100.6,18191700
607,100.2,18191700
612,100.4,18191700
617,100.6,18191700
622,100.4,18191700
627,100.4,18191700
632,100.4,18191700
638,100.4,18191700
643,100.6,18191700
648,100.4,18191700
653,100.6,18191700
658,100.4,18191700
664,100.4,18191704
669,106.7,18191704
