"Time (s)","CPU (%)","MEM (kB)"
0,3217,250885
5,3346,3105989
10,3309,3334745
16,3234,3370168
21,3227,3389452
26,3597,3426604
31,3670,3537472
36,3624,3673036
42,3624,3621873
47,3638,3635324
52,3601,3642996
57,3414,3654172
62,3269,3614633
68,3337,3619249
73,3276,3622732
78,3214,3624885
83,3236,3627161
88,3642,3630164
93,3603,3636793
99,3670,3643013
104,3667,3652688
109,3683,3658325
114,3504,3671861
119,3499,3667997
125,3205,3670785
130,3398,3671549
135,3215,3673105
140,3269,3673657
145,3264,3674484
151,3646,3676813
156,3664,3679925
161,3754,3717489
166,3721,3722693
171,3705,3725201
177,3469,3727909
182,3417,3665296
187,3325,3668180
192,3343,3668528
197,3298,3668985
203,3212,3670420
208,3391,3523469
213,3669,3646832
218,3662,3650036
223,3654,3665028
229,3693,3720257
234,3744,3723773
239,3398,3726816
244,3414,3727412
249,3217,3727981
255,3405,3677421
260,3194,3678465
265,3281,3678801
270,3424,3679560
275,3642,3744332
281,3654,3746656
286,3673,3749388
291,3646,3751457
296,3618,3753008
301,3498,3754689
307,3298,3755249
312,3303,3714171
317,3283,3715079
322,3310,3703492
327,3163,3704011
333,3639,3704075
338,3679,3773989
343,3689,3774421
348,3686,3775480
353,3659,3775952
359,3597,3776449
364,3404,3778072
369,3370,3779485
374,3267,3779629
379,3380,3745752
385,3130,3745849
390,3283,3747144
395,3554,3747324
400,3649,3747937
405,3660,3750501
411,3681,3751268
416,3697,3708728
421,3521,3717025
426,3490,3717661
431,3250,3703724
437,3363,3718444
442,3227,3718660
447,3301,3718744
452,3164,3718784
457,3720,3718888
462,3643,3719808
468,3664,3724885
473,3673,3726348
478,3690,3732141
483,3461,3732329
488,3430,3658345
494,3317,3725121
499,3310,3726472
504,3324,3680404
509,3226,3681964
514,3313,3682041
520,3662,3718065
525,3655,3719457
530,3685,3720021
535,3690,3830969
540,3707,3831625
546,3426,3832944
551,3396,3816561
556,3301,3816957
561,3331,3817044
566,3265,3766340
572,3274,3766500
577,3332,3766533
582,3601,3766629
587,3644,3767084
592,3688,3821560
598,3673,3822425
