"Time (s)","CPU (%)","MEM (kB)"
0,3663,106932
5,3636,353420
10,3604,515520
16,3587,717576
21,3636,1009868
26,3581,1147036
31,3639,1379628
36,3489,1392636
42,3530,1702828
47,3661,2043012
52,3478,2015632
57,3578,2669104
62,3655,2592800
68,3499,2592820
73,3643,3216116
78,3616,3102368
83,3524,3109492
89,3628,4369252
94,3635,3987964
99,3657,3972180
104,3369,3972188
109,3631,5353028
115,3635,4970852
120,3648,4953496
125,3627,4942944
130,3597,4942944
135,3373,6067588
141,3610,6245676
146,3650,6172688
151,3639,6149572
156,3607,6149584
161,3635,6149588
167,3341,6149600
172,3610,8454656
177,3634,7633992
182,3622,7633992
187,3618,7617608
193,3615,7617608
198,3612,7613512
203,3567,7593032
208,3073,8049160
213,3645,10038220
219,3618,9329512
224,3614,9329588
229,3634,9329588
234,3616,9329592
240,3635,9327468
245,3624,9327476
250,3629,9327476
255,3577,9327476
260,2916,10017592
266,3610,13700764
271,3599,11813936
276,3608,11810860
281,3599,11784292
286,3584,11784296
292,3632,11784300
297,3639,11784300
302,3619,11784300
307,3615,11784300
312,3599,11784300
318,3599,11784300
323,2801,11784300
328,3656,15044024
333,3586,14388552
338,3588,14628532
344,3621,14597216
349,3591,14597772
354,3583,14597772
359,3588,14597832
364,3606,14598356
370,3603,14598356
375,3574,14598356
380,3600,14598356
385,3598,14598356
391,3615,14598356
396,3591,14598356
401,3280,14598356
406,2805,16075316
411,3517,20266144
417,3487,21412700
422,3501,18559836
427,3563,18150100
432,3557,18185444
437,3550,18213948
443,3536,18269924
448,3563,18377828
453,3567,18447756
458,3551,18508872
463,3509,18410552
469,3579,18260960
474,3552,18260960
479,3546,18260992
484,3579,18260992
489,3612,18260992
495,3567,18260992
500,3572,18260992
505,2818,18261012
510,2922,20412652
515,3637,25481172
521,3581,26271048
526,3576,21993164
531,3518,22028708
536,3505,22398828
541,3567,22567604
547,3572,22568204
552,3542,22602548
557,3565,22657204
562,3539,22657232
567,3590,22657236
573,3597,22657516
578,3564,22657644
583,3527,22657644
588,3561,22657644
593,3575,22657652
599,898.0,22657660
604,100.6,22658008
609,100.4,22658008
614,100.4,22658008
619,100.4,22658008
625,100.4,22658008
630,100.4,22658008
635,100.4,22658008
640,100.4,22658012
645,100.6,22658012
651,100.4,22658012
656,100.2,22658016
661,100.6,22658016
666,100.4,22658016
671,101.4,22658016
676,100.6,22658016
682,100.2,22658016
687,100.4,22658016
692,0,0
