tool,exp_name,users,config_file,spawn_rate,processes,run_time,results_path,out_path,rps,avg_cpu,avg_memory,avg_bandwidth,avg_bandwidth_utilization,avg_open_sockets
locust,locust-1,200,configs/locust/default/locustfile.py,200,,120,experiments/locust/locust-1/results.csv,experiments/locust/locust-1/out.txt,4299.36,197.28260869565213,45615.52173913043,4046.588695652173,0.3169565217391305,187.2608695652174
locust,locust-2,400,configs/locust/default/locustfile.py,400,,120,experiments/locust/locust-2/results.csv,experiments/locust/locust-2/out.txt,4289.87,197.0173913043478,52731.34782608696,4045.4634782608696,0.31782608695652176,375.39130434782606
locust,locust-3,500,configs/locust/default/locustfile.py,500,,120,experiments/locust/locust-3/results.csv,experiments/locust/locust-3/out.txt,4306.21,194.17391304347825,56253.86956521739,4058.4491304347825,0.31739130434782614,470.39130434782606
locust,locust-4,600,configs/locust/default/locustfile.py,600,,120,experiments/locust/locust-4/results.csv,experiments/locust/locust-4/out.txt,4395.51,195.3043478260869,59678.086956521736,4143.336956521739,0.32521739130434785,561.7391304347826
locust,locust-5,200,configs/locust/default/locustfile.py,200,2,120,experiments/locust/locust-5/results.csv,experiments/locust/locust-5/out.txt,8566.03,381.0625,67814.45833333333,7221.317916666667,0.5633333333333334,194.58333333333334
locust,locust-6,400,configs/locust/default/locustfile.py,400,2,120,experiments/locust/locust-6/results.csv,experiments/locust/locust-6/out.txt,8823.07,378.5541666666666,74973.41666666667,7963.5529166666665,0.6225,379.0
locust,locust-7,600,configs/locust/default/locustfile.py,600,2,120,experiments/locust/locust-7/results.csv,experiments/locust/locust-7/out.txt,8164.12,381.36666666666673,82022.125,7375.772083333333,0.5762499999999999,568.7083333333334
locust,locust-8,200,configs/locust/default/locustfile.py,200,3,120,experiments/locust/locust-8/results.csv,experiments/locust/locust-8/out.txt,12611.62,567.65,78161.25,10622.246249999998,0.8308333333333332,194.58333333333334
locust,locust-9,400,configs/locust/default/locustfile.py,400,3,120,experiments/locust/locust-9/results.csv,experiments/locust/locust-9/out.txt,12149.39,570.625,84760.75,10313.178333333333,0.80625,382.7083333333333
locust,locust-10,600,configs/locust/default/locustfile.py,600,3,120,experiments/locust/locust-10/results.csv,experiments/locust/locust-10/out.txt,12609.18,568.2166666666667,92367.95833333333,11380.270416666666,0.89,570.4583333333334
locust,locust-11,200,configs/locust/default/locustfile.py,200,4,120,experiments/locust/locust-11/results.csv,experiments/locust/locust-11/out.txt,17645.71,757.6583333333333,89300.45833333333,14856.464999999998,1.16,196.79166666666666
locust,locust-12,400,configs/locust/default/locustfile.py,400,4,120,experiments/locust/locust-12/results.csv,experiments/locust/locust-12/out.txt,17192.38,750.1416666666668,94629.625,14483.482916666666,1.1316666666666666,383.3333333333333
locust,locust-13,600,configs/locust/default/locustfile.py,600,4,120,experiments/locust/locust-13/results.csv,experiments/locust/locust-13/out.txt,17263.57,754.0875000000001,101597.875,14644.080000000002,1.1445833333333333,574.3333333333334
locust,locust-14,200,configs/locust/default/locustfile.py,200,5,120,experiments/locust/locust-14/results.csv,experiments/locust/locust-14/out.txt,21111.22,940.6750000000001,99077.375,17770.38625,1.3879166666666667,195.625
locust,locust-15,400,configs/locust/default/locustfile.py,400,5,120,experiments/locust/locust-15/results.csv,experiments/locust/locust-15/out.txt,21104.13,945.2708333333334,103869.29166666667,17774.067916666667,1.3895833333333332,386.9583333333333
locust,locust-16,600,configs/locust/default/locustfile.py,600,5,120,experiments/locust/locust-16/results.csv,experiments/locust/locust-16/out.txt,20805.6,941.75,110574.75,17582.132500000003,1.374583333333333,575.0416666666666
locust,locust-17,200,configs/locust/default/locustfile.py,200,6,120,experiments/locust/locust-17/results.csv,experiments/locust/locust-17/out.txt,24764.56,1137.5291666666667,109067.125,20842.30916666667,1.6287500000000001,200.0
locust,locust-18,400,configs/locust/default/locustfile.py,400,6,120,experiments/locust/locust-18/results.csv,experiments/locust/locust-18/out.txt,25005.18,1132.8208333333334,115080.83333333333,21047.178333333333,1.6454166666666667,390.0416666666667
locust,locust-19,600,configs/locust/default/locustfile.py,600,6,120,experiments/locust/locust-19/results.csv,experiments/locust/locust-19/out.txt,25362.3,1135.7375,121775.70833333333,21340.98875,1.6670833333333333,573.875
locust,locust-20,800,configs/locust/default/locustfile.py,800,6,120,experiments/locust/locust-20/results.csv,experiments/locust/locust-20/out.txt,24999.48,1132.9416666666666,127677.625,21208.56125,1.656666666666667,763.5416666666666
locust,locust-21,200,configs/locust/default/locustfile.py,200,8,120,experiments/locust/locust-21/results.csv,experiments/locust/locust-21/out.txt,32387.29,1032.946153846154,123962.38461538461,26386.853846153845,2.060769230769231,196.3846153846154
locust,locust-22,400,configs/locust/default/locustfile.py,400,8,120,experiments/locust/locust-22/results.csv,experiments/locust/locust-22/out.txt,33549.74,1025.823076923077,132475.0,27310.474615384614,2.133076923076923,376.9230769230769
locust,locust-23,600,configs/locust/default/locustfile.py,600,8,120,experiments/locust/locust-23/results.csv,experiments/locust/locust-23/out.txt,32415.27,1037.2076923076922,137534.92307692306,26328.15692307692,2.0576923076923075,555.5384615384615
locust,locust-24,800,configs/locust/default/locustfile.py,800,8,120,experiments/locust/locust-24/results.csv,experiments/locust/locust-24/out.txt,32336.08,1037.3230769230768,144195.61538461538,26357.24692307692,2.0592307692307688,741.1538461538462
locust,locust-25,1000,configs/locust/default/locustfile.py,1000,8,120,experiments/locust/locust-25/results.csv,experiments/locust/locust-25/out.txt,32416.23,1038.4076923076923,149411.38461538462,26569.60076923077,2.074615384615385,919.5384615384615
