"Time (s)","CPU (%)","MEM (kB)"
0,452.8,2750
5,448.2,3067
10,465.9,3103
15,459.3,3135
21,467.3,3150
26,457.1,3163
31,450.2,3163
36,448.2,3168
41,482.6,3174
46,468.0,3267
52,451.6,3271
57,428.2,3279
62,444.5,3307
67,460.1,3339
72,458.6,3343
78,474.5,3350
83,479.0,3363
88,445.2,3371
93,432.5,3370
98,438.7,3371
104,455.5,3383
109,450.4,3383
114,431.5,3387
119,458.7,3387
124,467.8,3395
129,469.9,3403
135,454.7,3402
140,454.8,3403
145,447.6,3402
150,464.1,3403
155,467.2,3403
161,454.9,3404
166,444.5,3407
171,456.5,3407
176,464.9,3422
181,444.1,3423
186,444.2,3427
192,436.1,3427
197,428.4,3426
202,424.4,3431
207,432.0,3431
212,452.3,3435
218,465.3,3439
223,467.9,3443
228,451.3,3443
233,442.6,3443
238,443.7,3443
244,428.8,3442
249,440.9,3442
254,448.6,3444
259,469.7,3443
264,460.8,3446
269,458.1,3447
275,445.3,3447
280,455.6,3454
285,446.4,3454
290,441.7,3455
295,457.9,3455
301,453.6,3455
306,456.2,3455
311,448.9,3454
316,458.1,3460
321,454.5,3458
327,454.3,3459
332,448.0,3462
337,451.2,3462
342,456.7,3463
347,447.0,3463
353,461.7,3462
358,443.8,3463
363,441.3,3466
368,442.6,3467
373,452.1,3466
378,465.9,3467
384,456.8,3503
389,453.3,3503
394,447.7,3503
399,429.9,3503
404,441.3,3502
410,437.2,3503
415,417.4,3503
420,434.3,3502
425,428.7,3503
430,422.2,3503
435,430.1,3503
441,427.5,3503
446,427.2,3503
451,431.8,3502
456,442.0,3503
461,428.5,3503
467,438.6,3503
472,419.0,3503
477,431.1,3503
482,442.9,3503
487,435.5,3507
493,450.0,3507
498,434.1,3508
503,430.2,3507
508,441.3,3507
510,451.5,3506
515,426.0,3507
520,426.7,3507
525,435.3,3507
530,436.9,3507
536,439.0,3506
541,445.8,3507
546,439.5,3510
551,421.6,3531
556,432.9,3531
562,440.7,3534
567,451.9,3534
572,456.5,3535
577,428.3,3535
582,444.0,3539
587,444.2,3539
593,441.4,3540
598,473.3,3544
