tool,exp_name,threads,connections,duration,rate,results_path,out_path,rps,avg_cpu,avg_memory,avg_bandwidth,avg_bandwidth_utilization,avg_open_sockets
wrk2,wrk2-1,1,10,60,2000,experiments/wrk2/wrk2-1/results.csv,experiments/wrk2/wrk2-1/out.txt,1999.21,6.433333333333334,1930.25,1939.4316666666666,0.15333333333333332,10.0
wrk2,wrk2-2,1,10,60,3000,experiments/wrk2/wrk2-2/results.csv,experiments/wrk2/wrk2-2/out.txt,2998.86,11.375,1881.1666666666667,2909.0483333333327,0.23083333333333336,9.916666666666666
wrk2,wrk2-3,1,10,60,4000,experiments/wrk2/wrk2-3/results.csv,experiments/wrk2/wrk2-3/out.txt,3998.45,12.975000000000001,1871.5833333333333,3878.6175000000003,0.30749999999999994,9.916666666666666
wrk2,wrk2-4,1,10,60,8000,experiments/wrk2/wrk2-4/results.csv,experiments/wrk2/wrk2-4/out.txt,7996.72,20.34166666666667,1920.9166666666667,7757.3949999999995,0.6058333333333333,9.833333333333334
wrk2,wrk2-5,1,10,60,16000,experiments/wrk2/wrk2-5/results.csv,experiments/wrk2/wrk2-5/out.txt,15993.64,34.53333333333333,1792.0,15510.209166666667,1.2108333333333332,9.583333333333334
wrk2,wrk2-6,1,10,60,32000,experiments/wrk2/wrk2-6/results.csv,experiments/wrk2/wrk2-6/out.txt,31987.6,66.14999999999999,1871.25,31041.350000000002,2.424166666666667,9.333333333333334
wrk2,wrk2-7,1,10,60,64000,experiments/wrk2/wrk2-7/results.csv,experiments/wrk2/wrk2-7/out.txt,63976.24,67.44166666666666,1952.3333333333333,62128.475,4.851666666666667,8.5
wrk2,wrk2-8,1,10,60,128000,experiments/wrk2/wrk2-8/results.csv,experiments/wrk2/wrk2-8/out.txt,91295.02,75.64166666666668,1932.0833333333333,88854.15000000001,6.941666666666667,8.333333333333334
wrk2,wrk2-9,1,20,60,128000,experiments/wrk2/wrk2-9/results.csv,experiments/wrk2/wrk2-9/out.txt,98082.94,81.45833333333333,1833.5833333333333,95277.74166666665,7.4425,17.666666666666668
wrk2,wrk2-10,1,10,120,128000,experiments/wrk2/wrk2-10/results.csv,experiments/wrk2/wrk2-10/out.txt,90901.71,75.77916666666665,1964.25,87985.49625000001,6.874583333333334,7.916666666666667
wrk2,wrk2-11,2,10,60,128000,experiments/wrk2/wrk2-11/results.csv,experiments/wrk2/wrk2-11/out.txt,90832.87,129.375,2265.75,88177.79999999999,6.887499999999999,7.75
wrk2,wrk2-12,2,20,60,128000,experiments/wrk2/wrk2-12/results.csv,experiments/wrk2/wrk2-12/out.txt,127950.79,134.65833333333333,2433.8333333333335,124272.64166666666,9.71,17.5
wrk2,wrk2-13,2,20,60,256000,experiments/wrk2/wrk2-13/results.csv,experiments/wrk2/wrk2-13/out.txt,164938.28,146.275,2472.25,160238.71666666667,12.519166666666665,16.666666666666668
wrk2,wrk2-14,2,40,60,256000,experiments/wrk2/wrk2-14/results.csv,experiments/wrk2/wrk2-14/out.txt,187280.11,143.29166666666666,2491.75,182038.5,14.222500000000002,34.666666666666664
wrk2,wrk2-15,4,80,60,256000,experiments/wrk2/wrk2-15/results.csv,experiments/wrk2/wrk2-15/out.txt,177447.91,248.40833333333333,3546.25,172238.55833333332,13.45583333333333,73.5
wrk2,wrk2-16,8,100,60,256000,experiments/wrk2/wrk2-16/results.csv,experiments/wrk2/wrk2-16/out.txt,176805.78,402.4583333333333,5882.166666666667,171521.70833333334,13.400833333333333,90.66666666666667
wrk2,wrk2-17,8,100,120,256000,experiments/wrk2/wrk2-17/results.csv,experiments/wrk2/wrk2-17/out.txt,176131.33,405.0083333333334,6071.375,170635.12708333333,13.330416666666666,90.91666666666667
wrk2,wrk2-18,10,200,120,256000,experiments/wrk2/wrk2-18/results.csv,experiments/wrk2/wrk2-18/out.txt,179923.46,469.4958333333334,7466.625,174231.47458333333,13.61166666666667,190.08333333333334
wrk2,wrk2-19,10,600,120,256000,experiments/wrk2/wrk2-19/results.csv,experiments/wrk2/wrk2-19/out.txt,179190.44,473.8958333333333,9847.041666666666,173477.86666666667,13.553333333333333,570.4166666666666
wrk2,wrk2-20,20,1000,600,256000,experiments/wrk2/wrk2-20/results.csv,experiments/wrk2/wrk2-20/out.txt,179066.39,643.8965517241379,18646.422413793105,179301.41293103446,14.008189655172414,980.7931034482758
